id,name,category,cuisine,serving_size,serving_unit,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg
1,Lebanese Potato Tomato,dessert,Lebanese,363,g,506.0,8.6,28.8,16.6,0.8,6.2,768,3
2,Brazilian Omelette Stir-Fry,bowl,Brazilian,370,g,409.0,22.0,57.6,11.9,9.0,3.0,624,55
3,Japanese Stew Baked,bowl,Japanese,223,ml,529.0,31.7,111.9,18.1,3.0,2.3,1132,135
4,Chinese Hummus Tandoori,rice,Chinese,2,piece,402.0,19.6,82.5,25.0,7.9,2.0,945,81
5,Korean Cauliflower On Quinoa,vegetarian,Korean,195,g,159.0,11.1,19.0,11.1,11.1,19.0,542,102
6,Lebanese Potato Red Curry,drink,Lebanese,1,piece,173.0,5.5,50.3,2.4,11.0,23.4,226,6
7,Mexican Pancake Skewers,wrap,Mexican,314,ml,761.0,24.7,102.9,29.5,0.6,20.6,1011,81
8,Lebanese Shrimp Tandoori,wrap,Lebanese,434,g,760.0,18.3,76.7,11.4,11.2,26.7,543,104
9,American Stew Vindaloo,salad,American,317,g,316.0,6.6,20.8,31.6,9.0,6.6,414,83
10,Vietnamese Sayadieh Spicy,vegetarian,Vietnamese,337,g,551.0,8.7,29.7,24.2,12.1,29.1,1211,115
11,Spanish Noodles Vindaloo,pasta,Spanish,236,ml,488.0,21.8,87.8,13.7,3.3,2.3,1071,39
12,Lebanese Hummus Korma,sandwich,Lebanese,297,g,656.0,35.4,78.0,12.7,5.8,11.9,242,102
13,Moroccan Sambousek Roasted,lunch,Moroccan,252,g,491.0,49.4,20.3,14.2,6.1,13.7,547,43
14,Korean Halloumi Roll,vegetarian,Korean,2,piece,442.0,22.2,38.7,27.8,2.2,13.3,378,58
15,Lebanese Quinoa Tandoori,rice,Lebanese,326,ml,787.0,40.2,79.6,27.1,2.3,9.0,1469,93
16,Lebanese Sushi Vindaloo,seafood,Lebanese,138,g,434.0,41.9,2.1,6.5,2.1,2.1,1441,92
17,Mediterranean Mujadara Ramen Style,wrap,Mediterranean,2,piece,809.0,16.9,94.7,13.6,5.3,21.2,560,53
18,Lebanese Tofu Green Curry,snack,Lebanese,286,g,340.0,22.5,17.0,13.5,4.1,14.4,953,53
19,Lebanese Fattoush Roasted,vegetarian,Lebanese,207,g,506.0,19.9,15.5,13.5,2.9,10.3,1069,136
20,Japanese Falafel Shoyu,lunch,Japanese,213,ml,490.0,24.2,64.1,13.5,6.1,23.1,973,19
21,American Omelette Red Curry,pasta,American,261,g,358.0,20.3,102.2,33.2,0.9,10.4,1030,103
22,Brazilian Waffle Herb,wrap,Brazilian,405,g,847.0,36.8,109.1,7.2,9.6,10.7,1506,137
23,Chinese Sujuk Wrap,snack,Chinese,266,ml,662.0,25.5,36.9,31.0,3.3,0.8,414,56
24,Japanese Mortadella Green Curry,vegan,Japanese,481,ml,189.0,23.5,15.6,32.6,3.4,3.1,692,112
25,British Sujuk Pho Style,snack,British,204,g,520.0,9.2,76.8,19.3,8.0,20.3,955,53
26,Turkish Mezze On Rice,snack,Turkish,1,piece,444.0,22.6,34.4,9.0,5.5,28.9,1079,147
27,Thai Fattoush Casserole,breakfast,Thai,261,g,458.0,24.0,35.4,19.1,2.8,13.3,1273,118
28,Italian Falafel Pesto,stew,Italian,1,piece,673.0,23.1,7.7,35.1,7.6,7.7,759,143
