id,name,meal_type,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,nationality,tags,restaurant_name
1,Mujadara,"lunch,dinner",446.4,41.7,33.8,15.8,4.2,13.3,651,Lebanese,"traditional, home",
2,Tabbouleh,"lunch,dinner",749.7,30.9,32.1,13.7,4.2,14.7,1068,Lebanese,"traditional, home",
3,Kibbeh Nayyeh,"lunch,dinner",863.1,41.5,39.8,19.9,4.4,10.7,580,Lebanese,"traditional, home",
4,Warak Enab,"lunch,dinner",396,35.8,33.4,28.9,6.1,1.9,1064,Lebanese,"traditional, home",
5,Fatteh Hummus,"lunch,dinner",419.2,41.5,79.3,13.1,6.8,2.3,186,Lebanese,"traditional, home",
6,Bamieh Stew,"lunch,dinner",629.2,16.3,78.5,44.6,11.4,11.5,765,Lebanese,"traditional, home",
7,Mloukhieh,"lunch,dinner",596,31.7,19.7,16.8,10.9,12.6,179,Lebanese,"traditional, home",
8,Lentil Soup,"lunch,dinner",217.4,32.3,33.6,20.4,9.9,4.2,984,Lebanese,"traditional, home",
9,Fattoush,"lunch,dinner",599.1,15.3,78.3,26.5,4.7,8.8,67,Lebanese,"traditional, home",
10,Kafta with Rice,"lunch,dinner",336,26.6,54.7,43.2,11.1,1.2,142,Lebanese,"traditional, home",
11,Riz a Djej,"lunch,dinner",461,24.8,70.2,20.9,11,10.7,520,Lebanese,"traditional, home",
12,Stuffed Zucchini,"lunch,dinner",734.6,16.6,57.6,10.2,5,9.8,347,Lebanese,"traditional, home",
13,Sheikh el Mahshi,"lunch,dinner",874,17.9,25.5,35.9,8.9,3.6,418,Lebanese,"traditional, home",
14,Loubieh Bzeit,"lunch,dinner",844.6,33.1,30.3,11.1,2.5,10.4,1042,Lebanese,"traditional, home",
15,Batata Harra,"lunch,dinner",333.4,11.7,66,16.5,9.2,1.9,1161,Lebanese,"traditional, home",
16,Kousa Mahshi,"lunch,dinner",519,42.5,44.5,13.6,10.6,9.6,423,Lebanese,"traditional, home",
17,Yakhnet Fasoulia,"lunch,dinner",447.8,5.8,39.4,39.3,11.5,14.8,960,Lebanese,"traditional, home",
18,Eggplant Fatteh,"lunch,dinner",502.3,15.3,10.1,35.6,5.5,14.2,860,Lebanese,"traditional, home",
19,Lebanese Potato Stew,"lunch,dinner",494.2,23.3,76.1,11.9,4.2,6.1,379,Lebanese,"traditional, home",
20,Spinach Fatayer,"lunch,dinner",750.9,7.5,64.8,20.7,4.7,7.6,353,Lebanese,"traditional, home",
21,Moghrabieh,"lunch,dinner",161.6,43.2,31.9,7.3,8.3,6.7,966,Lebanese,"traditional, home",
22,Freekeh Chicken,"lunch,dinner",312.1,26,66,31.8,4.5,2.3,640,Lebanese,"traditional, home",
23,Lebanese Omelette,"lunch,dinner",601.1,44,13.6,40,10.3,12.5,193,Lebanese,"traditional, home",
24,Manoushe Homemade,"lunch,dinner",743.4,5.5,11.7,12.1,1.1,14.8,359,Lebanese,"traditional, home",
25,Lebanese Meat Pie,"lunch,dinner",892.6,31.9,55,36.8,7.4,6.7,970,Lebanese,"traditional, home",
26,Burghul with Tomatoes,"lunch,dinner",248.7,29.8,26,9.1,3.3,0.6,70,Lebanese,"traditional, home",
27,Hummus Bowl,"lunch,dinner",362,21.7,24.7,3.5,8.4,3.5,668,Lebanese,"traditional, home",
28,Labneh with Olive Oil,"lunch,dinner",275.3,38.2,26,25.5,11.2,11.8,334,Lebanese,"traditional, home",
29,Grilled Halloumi,"lunch,dinner",694.7,20.5,45.2,44.2,1.6,14.7,874,Lebanese,"traditional, home",
30,Eggplant Moussaka,"lunch,dinner",272.6,44.9,47.8,18.5,2.8,8.2,879,Lebanese,"traditional, home",
31,Homemade Shawarma Plate,"lunch,dinner",649.8,36.6,50.3,23.3,11.2,11.3,747,Lebanese,"traditional, home",
32,Chicken with Rice,"lunch,dinner",815.4,25.6,46.7,22,4.5,10,750,Lebanese,"traditional, home",
33,Lebanese Lentil Risotto,"lunch,dinner",419.1,39.8,17.8,43.9,9.6,2.6,95,Lebanese,"traditional, home",
34,Vegetable Stew,"lunch,dinner",740.6,30.4,49.5,44,2.7,7.3,784,Lebanese,"traditional, home",
35,Lebanese Falafel Plate,"lunch,dinner",837.8,44.3,35.2,5.8,6.6,7.9,68,Lebanese,"traditional, home",
36,Tahini Salad,"lunch,dinner",466.4,40.7,16.7,26.5,6.6,11.6,954,Lebanese,"traditional, home",
37,Zaatar Bread,"lunch,dinner",789.7,14.1,12.7,26.9,10.2,8.7,989,Lebanese,"traditional, home",
38,Garlic Potatoes,"lunch,dinner",837.6,38.8,67.8,34.9,8.1,3.2,191,Lebanese,"traditional, home",
39,Stuffed Peppers,"lunch,dinner",788.3,17.4,64.6,8.9,2.2,9.2,661,Lebanese,"traditional, home",
40,Tomato Kibbeh,"lunch,dinner",499.6,17.5,47.7,25.7,7.9,0,405,Lebanese,"traditional, home",
41,Chickpea Stew,"lunch,dinner",689.3,33,13.7,35.9,4.3,7.7,276,Lebanese,"traditional, home",
42,Yogurt Cucumber Salad,"lunch,dinner",279.3,8.3,16.4,18.7,2.5,5.6,434,Lebanese,"traditional, home",
43,Cabbage Rolls,"lunch,dinner",325.4,35.3,69,8.8,6.9,12.4,540,Lebanese,"traditional, home",
44,Stuffed Vine Leaves,"lunch,dinner",481.5,33.4,12.2,19.7,3.2,0.1,207,Lebanese,"traditional, home",
45,Beet Salad,"lunch,dinner",448.8,40,24.4,3.1,2.8,4.7,315,Lebanese,"traditional, home",
46,Chard Stew,"lunch,dinner",503.4,13.5,53.8,31.5,9.2,9.8,890,Lebanese,"traditional, home",
47,Mujadara Hamra,"lunch,dinner",718.6,17.4,22.8,34.9,8.3,2.6,413,Lebanese,"traditional, home",
48,Potato Kibbeh,"lunch,dinner",241.6,9.8,74.8,24.5,9.8,12.6,951,Lebanese,"traditional, home",
49,Lebanese Grilled Veggies,"lunch,dinner",680.8,19.6,53.2,4.1,3.4,12.2,1047,Lebanese,"traditional, home",
50,Hindbeh,"lunch,dinner",168.3,8.2,28.8,38.8,3.9,10.1,382,Lebanese,"traditional, home",
51,Toum Dip,"lunch,dinner",602.2,41.5,23.6,13.9,2.9,10.3,75,Lebanese,"traditional, home",
